name1,name2,is_match
s anwar basha general surgeon,masthan bhasa p,0
sudhansu sekhar sutar,s sutar,0
satyendra kaushik,s sutar,0
navaneetha krishnan srinivasan,g p navaneethan,0
anwar basha,masthan bhasa p,0
chhajer,k s chajjar,0
oindrila biswas,r s biswas,0
ashish vashistha,tejash vashisht,0
ashvind bawa,chinar k,0
shahiq ahmed,ahemadullah shalkh,0
piara singh,chinar k,0
senthil kumar,n senthilkumar,0
sudhanshu mishra,d mishra,0
manoj kumar gupta,laldav gupta,0
manu kuris,kuresh s,0
manasa mohan,manasa u,0
quresh maskati,kuresh s,0
animesh damani,anil dammani,0
rajiv ranjan,rajeev rahi,0
sudheer katta,a chitti babu,0
ashish khattar,ira khattar,0
r n singh,arpana singh,0
saroj kanta mishra,sarvendra x,0
shiv kishor,shiva kishore,1
ankur saxena,sarvendra x,0
malay kumar mandal,malay kr mondal,1
j v shivakishore,shiva kishore,0
b n shukla,sachin shukla,0
thayumana sundaram,sundaram m v t,0
shanmuga sundaram,sundaram m v t,0
mahadeo n garale,kaushik mahade,0
arjun thayumana sundaram,sundaram m v t,0
v p singh,prabhash singh,0
rk gupta,amrit kumar gupta,0
t kannan kumar,t sri krishnakumaran,0
md arif ansari surgeon doctor in katihar,a r ansari,0
shajahan y,shah jahan,0
drks varma,k asok varma,0
swapnil a pattanshetti,p s pattanshetty,0
pattanshetty ramesh chandrappa,p s pattanshetty,1
bhardwaj vijayesh,vijyesh bharadwaj,1
rajeev kumar ranjan,k rajan kumar,0
pattanshetty nagutai tamanna,p s pattanshetty,1
abhishek maru,abhishek bhagwat,0
dhanasegaran,s sevvel,0
manoj padman,h s rautela,0
sushanth,susanth s,0
sushanth y s,susanth s,0
jofin john varghese,jofin k johny,0
trilok pratap singh bhandari,trilok x,0
subhankar saren,rajiv gupta,0
amith reddy,amith s,0
gsundararajan,p sundar rajan,0
abhijit thakur,h p thakur,0
nayanjyoti das,j das,0
mohamed meeran,pms meeran,0
shravan pratap singh yadav,s b yadav,0
o p rai,r n rai,0
manoj kumar,monaj kumar barik,0
manoj kumar a p,monaj kumar barik,0
dipak prasad das,c p das,0
gogoidhruba jyoti,s gogoi,0
manoj kumar r,monaj kumar barik,0
robin kurian,ribin c,0
c purnachandra rao,n poornachandra rao,0
raj kumar rajput,rajkumar verma,0
saurabh tiwari,v s tiwari,0
drd sakthivelan,sakthivel j,0
purnendu roy,m c roy,0
p s m ameer ali,amir ali,0
rammohan kasturi,k ram mohan,0
jajoo rucha suhas,rucha j naval,0
suresh kumar sarawgi,s sarawgi,1
gejo george cedric,gejoe g,0
sanjay kumar dubey,pijush dubey,0
ananya anudeep,o anudeep,0
manoj bansal,manan bansal,0
nilesh nimavat,t nimavat,0
dekanilotpal,deka nilotpal,1
hemasundar,hema sundar,1
neeraj dwivedi,s c l dwivedi,0
dj bhaumik,d j bhowmick,0
goutham roy,d vishali,0
mujawar parvej abdul jabbar surgeon doctor in dhule,parvej mujawar,0
aijaz ahmad malik,aizal,0
verma ram naresh,naval verma,0
aijaz ahmad,aizal,0
suresh shenoy,p s suresh,0
aijaz ahmad rather,aizal,0
vivek singla,tanuj singla,0
dibyajyoti bora,boro kanak,0
ravindra nath sahay,r n sahay,0
srinivas,p sreenivas,0
mohammed siddique,k a sidhic,0
rasbihari hembram,ras bihari hemrom,0
mohammed waseem,mohammed vassim,0
sahay chandra bansh,r n sahay,0
rama krishna,ramakrishna bolagani,0
nilesh vishwakarma,nilesh v patil,0
aravind gubbi,gubhi h,0
nitin jagdhane,c d jagdhani,0
geo jerosh j r,genoo,0
ganga cheluka gopalachary,ganga s,0
m r attri,mohan r attri,1
bejoy abraham,vijay abraham,0
gangalakshmi c,ganga s,0
akash a saraogi,akash bhatjire,0
upadhyay abinash kumar,r n uppadhya,0
k matchavel,jeena raju k,0
kuotsu lhoutsoviti,k kuotsuo,0
drrabindra nath upadhyay,r n uppadhya,0
arup kanti deb,dev a k,0
asish kumar mandal,ashish kumar mondal,0
raj kumar singh,c rajkumar,0
biswajit dev nath,dev a k,0
surendra ugale,surender s g,0
pashok,ashok singh,0
dara surender,surender s g,0
durah rupam,rupam duwara,0
drrupam duarah,rupam duwara,0
surender losari,surender s g,0
devajit choudhury,dev a k,0
hariprasad t r,manjunath hariprasad,0
madhu moothedath,madhu m s,0
liladhar r chandan,chandan phadgane,0
nikhil gawde,nikhil thorkade,0
karan singh,m n s appa,0
mohd salman khan,m n s appa,0
shreya sardana,sarath sarnich,0
atul sardana,sarath sarnich,0
bibilash babu,babu subhash,0
majumdar jaydeep,d n majumdar,0
praveen sodhi,saba parveen,0
james,molly james,0
khurshid alam,alom m,0
jameel akhter,j akther,0
intekhab alam,alom m,0
agasthya dharmapuri,pramod agasthya,0
roman dutta,s c dutt,0
pawan kumar gambhir,pawan x,0
gokulananda sahu,j r sahoo,0
pawanindra lal,pawan x,0
diwakar shankar,vidyashankar cj,0
rajeyabaul,r jeyapaul,0
jeyabaul ra,r jeyapaul,0
jeyabaul r a,r jeyapaul,1
vijay anand,tanvi vijay,0
ashok kumar verma,a k verma,0
jayasurya reddy,soudin reddy c,0
narendra kumar reddy g,ibrahim g,0
mohsin khan,farhan mohsin,0
sharmanabanita,n sharma,0
mohammad avdel samad,m a samad,0
jayavant deore,jaywant v deore,0
akshaya kumar panda,akshay batta,0
ankur verma,a k verma,0
vijay wadhwa,tanvi vijay,0
dilip kumar deka,killing dilip,0
pallab saha,p c saha,0
kalyan mandal,c fonning,0
vijay pratap singh,v p singh divya hospital,0
nirmal sinha,nirmal kumar paswan,0
vishal mukherjee,c fonning,0
rohit sexena,rohit km saxena,0
iftikhar bakshi,r k bhakshi r k bhakshi,0
ajay prakash,v s prakash,0
yousuf kachroo,mohammad yousuf,0
m begani,m belagi,0
ankit chauhan,ankit katara,0
mm begani,m belagi,0
ashwini c,ashwinee x,0
gautam kumar,kumar p c,0
asheesh sharma,ashwinee x,0
vikram goyal,nagarjun reddy,0
shishir agrawal,samsun haq,0
k rajendran,k arivarusu,0
rajan garach,jarine ragwala,0
ss saha,irin saha,0
debapriyo saha,irin saha,0
ramkrishan kajla,r k kajla,0
k khan,k w hasan,0
sarfraz alam,r alam,0
mohmad yousuf mir,mohammad yousuf,0
tanmaya panda,s panda,0
chandra ck naidu,p c k naidu,0
aman barwala,aman,0
n anandan,c anbanantham,0
singh sardar pradip kumar,pradip sing sardar,0
raghunath k j,c anbanantham,0
a anbanandan,c anbanantham,0
ajay halder,ajay sen,0
chukka gautam kumar,p k gautham,0
prasad jeedigunta,g s v prasad,0
yash pandey,juli priya,0
varun sanjay gunavanthe,varun mn,0
varun h kashyap,varun mn,0
k c garg,karan garg,0
d v sita rama raju,v sitaraman swamy,0
varun dixit,varun mn,0
ajay mandal,amjad mondal,0
mahender jillella,v mangilol,0
k goutham roy,v mangilol,0
vamshi krishna,v mangilol,0
ranvijay bharti,ran vijay sinha,0
d dakshina murthy,dakshman,0
shivanshu singh,karanvir singh,0
anurag bijalwan,anurag x,0
bashir ahmed lone,basit ahmad,0
yeshwanth r,yashwant r sarkery,0
ranvijay singh,ran vijay sinha,0
amarnath reddy palakollu,g nagamanikyam,0
dhar dwivedi indu bhushan,a p d dwivedi,0
s v r chandra murthy,v mangilol,0
gundam siva srinivasa reddy,b srinivasa reddy,0
muhammed safeer,safeer b,0
raman sharma,suryottam sharma,0
akshay anchalia,akshay s marathe,0
akshay mhase,akshay s marathe,0
sanjay v vekhande,v sinddikar,0
mithilesh kumar,kumar mrigesh,0
preity negi,prteet negi,0
pandey ravi kumar,a k pandey,0
shams alam mohammed tahir,shalmali m,0
shireesh h choudhary,shailendra chaudhari,0
shekar reddy y,y shashindra,0
joyanta kumar,jayanta khan,0
spilango,bagavath leena,0
bashir ahmad,fasil ahmad,0
kamalakar naidu,naidu kl,0
chandra ck naidu,naidu kl,0
nilesh kumar dehariya,nilesh guru,0
tawseef ahmad,tawseef mir,0
gaurav minocha,v r minocha,0
shyama sundaram kottilil,shyama s,0
mubarik mir,mubariq ahmad,0
sriharsha bhimavarapu,sri harsha manepalli,0
debashish roy,d roy choudhary,0
sahil sharma,sahil sandal,0
manabendra naskar,manabendra sur,0
louis david p,p devid,0
david p tauro,p devid,0
prantik chowdhury,prabin ch choudhury,0
satish bansal,satish s n,0
vinay kumar,vinay p,0
amit bansal,amit sukoti,0
amit phadnis,amit sukoti,0
chetan j patil,vijendra patil,0
rishikesh kumar,uttkarsh kumar,0
sanjeev trehan,khan temoor,0
jafar ali,jafar deep,0
keertana devasani,keerthana m s,0
jp jaiswal,jolly x,0
g sriramulu,sri ramalu,0
siddharth jaiswal,diddarth x,0
m ramulu,sri ramalu,0
sashi kalyan,kalyan adithya,0
govindarajan periasamy,peria samy,0
kalyan chakravarthy molugu,kalyan adithya,0
nvenkata chalapathy goud,n v chalapathi goud,0
pk moulik,dhruba moulik,0
sharad gupta,jps shakay,0
n suresh anand,n suresh,1
bipin chand chaturvedi,vipin chaturvedi,0
balamurali,bala murali,1
sanjoy kumar mahapatra,sanjay mohapatro,0
ram bhupal rao,ram malik,0
d k garg,hc garg,0
srihari dasamandam,m sreehari,0
khush dil ajaz,khushdil jan,0
yawar nissar,yawar ahmed,0
md najim,inzamam ul hoda,0
sherif ahmed,shafeeq s,0
sanjeev kumar,v p sah,0
sheela sulochana,silby p y,0
tsvijayakumar,vijay kumar t s,0
b k sinha,v p sah,0
preethi chandran,preethi philip,0
dhruba jyoti bhaumik,m bhowmick,0
a choudhary,a h chowdhury,0
gmarimuthu gopalsamy,gopalakrishnan g,0
purnendu bhowmik,m bhowmick,0
tripathi induprabha miss,pooja triphati,0
a arun kumar reddy,arun,1
sukhwinder singh,sukhwinder dabar,0
dharwar vivekanand a,m s dhadve,0
sukhvinder singh saggu,sukhwinder dabar,0
ravindra b dhaded,m s dhadve,0
govind radheshyam ghodawal,govind chaparval,0
sanjay kumar dubey,s k dubey,0
tapash paul,tapas rudrapaul,0
eashwernath p s,eshwar nath,0
rajat kumar patra,m r patra,0
harindra sandhu,p s sandhu,0
syed altamash,md altamash,0
paramjit singh sandhu,p s sandhu,0
kerketta miss prerna j,m d kerketa,0
santanu sarkar,r k sarkar,0
prunima kerketta,m d kerketa,0
kunwar roop singh,s kunwar,0
tapas kumar sarkar,tapas rudrapaul,0
suraj parkash,suraj kumar,0
sudhanshu mishra,j p mishra,0
rakhi agarwal,rakhi aranjiya,0
raghunath k j,mayu resan,0
s k thakur,ramjee thakur,0
jaydip bhadra ray,jaydeb roy,0
madva jayashankar,balaji jaya shanker,0
sadan palande,s a palande,0
vpanneer selvam,v panneer selvam,1
harindra sandhu,harvin sandhu,0
sk imran ali,rahmatullah ali,0
dinesh jaiswal,p c jaiswal,0
rohit singh,rohit xxxxx,0
balaji srinivas sunkam,balaji jaya shanker,0
golam mortuza,rahmatullah ali,0
raman kumar jha,k c jha,0
mayank manjul madan,manjul x,0
arulkumar gnanaprakasam,a arul,0
anowar ali mallick,rahmatullah ali,0
arul kumar,a arul,0
avinash koul,avinash x,0
prunima kerketta,m d kerketta,0
kerketta miss prerna j,m d kerketta,0
bibhu priyo das,b n das,0
humayun ali shah,rahmatullah ali,0
manjul bawa,manjul x,0
sudhir gavali,sudhir p ugane,0
reuben rajappa ranadive,rajjappa rubbain,0
parinita kaur,parishith,0
sjayakanthan,jayabalan dr,0
sunil dhar,m l dhar,0
gaikwad chandrakant abasahebrao,c a gaikwad,0
aashish chavan,b d chavan,0
gaikwad dilip prabhakarrao,c a gaikwad,0
prashant gaikwad,c a gaikwad,0
rashmiranjan sahoo,sarbeswar sahu,0
ashish ahuja,asish k p,0
ranjan kumar jena,manu ranjan,0
chopra miss kanwal jeet kaur,k s chopra,0
chaudhary saleem jawed,mohd saleem choudhary,0
gautam jain,k c gautam,0
narsimha reddy,k v narasimha reddy,0
asokan muthukumar,muthu kumar,0
akshaya kumar panda,akshay pandey,0
kharat santosh,ravindra kharat,0
vijay s pandey,akshay pandey,0
chandra hospital,sanjana maheswari,0
gokul d yatheendranathan,t gokul,0
mahesh chandra misra,mahesh daima,0
anish nagpal,anish cola,0
shams alam mohammed tahir,tahir merchant,0
jugal kishore goyal,amit kishor,0
renuka prasad h t,renija v t,0
s eswaramoorthy,s easwaharamoorthy,1
nikhil narain,akshay narayan,0
pallav agrawal,chandra agarwal,0
parvez m dar,areez,0
saba fathima,saba fatima,1
ashish kumar sharma,ashish mor,0
ashish agarwal,ashish mor,0
srikant patro,a k patra,0
vijay padaliya,v l padalia,0
kiran chheda,karna chheda,0
gajraj suresh kumar,r s gajraj,0
bhushan itkelwar,jayant v itkelwar,0
abhilash mohanty,s b mahanty,0
shahbaz habib faridi,s h faridi,0
nevasekar unmesh,c m deosarkar,0
sabari girieasen m,samina gs,0
bhupesh tirpude,vikas tirpude,0
drrudrasinh j jhala,rudrasinh j jhala,0
subhasini,samina gs,0
naveen pg,mallikarjuna v,0
arif qazi,arefa almas,0
narendra singh chauhan,n s chauhan,0
zaidi ali kausar surgeon doctor in saharanpur,z a kausar,0
vedant narayan yadav,alok singh,0
ali kausar zaidi,z a kausar,0
sayed zaffar karam,zafari kharmutee,0
sandip chakrabarti,mandip chakarborty,0
deepak rohidekar,deepak rhodikear,0
vs chauhan,n s chauhan,0
drtm vaikuntaraman,vaikundaraman,0
rajiv ranjan thakur,r k thakur,0
sk poddar,s k patra,0
pradeep sharda,nipun sharda,0
drsk patra,s k patra,0
vamsi krishna,vamsi gs srm,0
karthikeyan selvaraju,emj karthikeyan,0
manoj patel,manish ladumor,0
drv soundara rajan,v soundararajan,0
miten sheth,rajendra sheth,0
o p singh,upendra singh,0
suchithra lakshmi gadepalli,g laxmi suchithra,0
aditya prasad padhy,p padhy,0
sarkar gobinda lal,p k sarkar,0
sreekumar rc,sree kumar r c,1
bineet jha,beenit jha,0
mageswaran perumal,m perumal,0
devender singh,devender dr,0
abdul haleem,haleem h,0
mahima singh,vikki,0
p k singha,p k sinha,0
nirmaladevi sivasankaran,s nirmala devi,0
s jagadesh chandra bose,chandra boss,0
prashant chandra das,d p dash,0
ambika prasad dash,d p dash,0
pk banerjee,shiddhart benerjee,0
pksharma,p k sharma,1
subash chandra das,subash ch das,1
rajiv prakash manek,rajeev guromukhi,0
praveen kumar,l praveen,0
rajiv das,rajeev guromukhi,0
anil kgarg,nikul garg,0
mohammad amir,md ameer,0
s p garg,nikul garg,0
v preethi karthikeyan,ruthu v,0
kachhawa miss garima,d s kachawa,0
rajendra madhusudan gupta,r s gupta,0
adepu jayaram,adepu sudhir,0
lalrinsanga khiangte,lal sanga,0
ravi ashok landge,ravi lantage,0
ravindra tankhiwale,ravi lantage,0
sb saha,sanjiv saha,0
vs bedi,virender bedi,0
mandeep singh sethi,m s sethi,0
anbarasu ponnusamy,i anbarasu,0
shekar reddy nalabolu,s sekhar,0
anbarasu arangasamy,i anbarasu,0
jaydip bhadra ray,debdut bhadra,0
yash pandey,p venkatachalapathi,0
drt siva kumar,t sivakumar,0
mayank manjul madan,mayank kashmiri,0
dhvanit haresh tolia,p r tolia,0
nitin sethi,m s sethi,0
dhvanit tolia,p r tolia,0
mohit birla,mohit budgurger,0
sumanth raj k b,sumanth k n,0
ajit jafa,ajeet singh,0
haresh tolia,p r tolia,0
vineet kumar pathak,vinit x,0
vineet agrawal,vinit x,0
ramya ranjan behera,r k behera,0
siddharth jain,sidharth x,0
siddhartha rao,sidharth x,0
cr chhallani,c n hallani,0
manjit singh chahal,m s chahal,0
sandeep kumar,sandeep xxx,0
deepak kumar jha,j k desdeepak,0
seshadri l n,p sheshadri,0
chhallani cr,c n hallani,0
seshadri ln,p sheshadri,0
sandeep jain,sandeep xxx,0
saurabh pandey,ayaush pandey,0
deepak kumar jha,d k jha,0
p cprasad,p k prasad,0
rashmi,reshmi t,0
dulal raj baruah,r c baruah,0
shefali agrawal,shafali chandra,0
siva sankar p r,shiva shankar naik b,0
bharat n gade,d n gade,0
imtiaz ahmad,imtiaz x,0
sunit kumar singh,s g imam,0
imtiaz ahmed,imtiaz x,0
pandya s bharat,jayshree s pandya,0
gopinath,kirupa gobinath,0
v k girotra,saurabh girotra,0
gagan gautam,gam,0
ganga n,vigneshwaran s,0
bali gam,gam,1
aravind,mp aravindh,1
rajesh paul,a b paul,0
sridhar reddy m,jethavya reddy m,0
antaryami sahoo,k p sahoo,0
p jayasimha reddy,jethavya reddy m,0
vijai kumar misra,vijendra mishra,0
neeraj dhamija,i r dhammi,0
c satish kumar reddy,tarunkumar reddy,0
rakesh khan,monalisha khan,0
ydsn murthy,m v banerje,0
adicherla naveen kumar,m s navin kumar,0
m naveen orthopaedician doctor in karimnagar,m s navin kumar,0
amit dhamija,i r dhammi,0
prithviraj t,m prithivi raj,0
pruthviraj setumadhav,m prithivi raj,0
rahul jain,rahul xxxxx,0
shiva kumar,v y shiva,0
praneeth raj patel,praneeth aregala,0
nanda rajaneesh,b p nanda,0
shahad ahmed,mohd shamshad,0
sanjay ambekar,suniti ambekar,0
anuj srinivasan,cinayanan,0
r sagar,r saggar,1
sonal kumar jha,r n jha,0
parbhat kumar,prabhat ku rath,0
ajay yadav,ajay bhimrao,0
chanchal verma,c l verma,0
leivon skomrem,s k leivon,0
sagar kesar,r saggar,0
vandana soni,gajendra soni,0
rameshbabu vidyavasthu,v c ramesh,0
ajay madan,ajay bhimrao,0
rizvi alighazanfar,h a rizwi,0
khan abrar ahmad,a s khan,0
srinivasa rao narapusethy surgeon doctor in rajahmundry,p srinivasa rao,0
ramesh vasudevan,v c ramesh,0
sanjeeva kumar choudhary,sanjiv chaudhry,0
anubhav sangwan,r s sangwan,0
raghavendra singh,saurabh rai,0
md asad,md asdullah,0
hima bindu n,v bindu,0
mohit jain,mohit x,0
altabur rahman,altabur rahaman,1
dharmashri kadam,ashwini kadam,0
rahman altabur,altabur rahaman,1
echandra sekhar reddy,y shekhar t,0
g aurobinda mohapatra,a mohapatra,0
kadam,ashwini kadam,0
pravin hanumant shinde,praveen tungenwal,0
sudarshan reddy k,g sudharshan,0
praveen sodhi,praveen tungenwal,0
sekar natarajan,n sekhar,0
nsekar,n sekhar,1
tanvir saquib,saakib masi,0
khadanga bhubnanmohan,b m khandenga,0
anil malik,p r malik,0
jaganmoy maji,j mazi,0
nagarajan,n s nagrajan,0
jayaseelan asirvatham,chandra asirvadam,0
sanjay nagral,n s nagrajan,0
j maity chamb,j mazi,0
santhosh kishore naik,santosh naik,0
vallabhaneni ram kishore,ram kishore gautam,0
abizer manked,abizar saifee,0
nagarajan n,n s nagrajan,0
v t baskaran,a bhaskaran,0
nizamuddin ansari,nizam x,0
kamaksha prasad,kamaksha doula,0
suresh chandra mohanty,suresh agrawal,0
r s gandhi,rimy prasad,0
ashok d borisa,milind ashok,0
sanjay sen,sanetah jane,0
manish kulshrestha,munish x,0
kiruba shankar k,gokula kiruba sankar,0
harindranath h ranganath,harindra nath,0
debashish roy,nivedita roy,0
r m kaushik,arvind kaushik,0
rizvi alighazanfar,a h rizwi,0
chetan umarani,m g umarani,0
elizabeth jacob,elizabeth p t,0
saba shaheen,sabha saheen,1
tawseef ahmad,jibreel ahmad,0
ss saha,sabha saheen,0
m jha,s n jha,0
debkumar ray,arindrajit dev,0
shailender kumar jain,jainendra kumar arora,0
m muthuraman,muthu raman,0
arindrajit panja,arindrajit dev,0
abhishek bhauwmik,avisekh vertia,0
priyanka jha,piryanka x,0
abhishek bhartia,avisekh vertia,0
dharam paul chawla,a s chawla,0
prajual komath pola,prajual dr,0
abhishek sharma,avisekh vertia,0
rajan chawla,a s chawla,0
dharam chawla,a s chawla,0
vikram aryan,vikeema bharti,0
abhishek bhaumik,avisekh vertia,0
prajwal chandrasekhara,prajual dr,0
mohammad saquib,mohd shaquibmohd,0
priyanka agarwal,piryanka x,0
v venu gopal,v veenu,0
sheik abeeb raja,habeb raja s,0
kankan chattopadhyay,konkan chatterjee,0
tj ranganathan,renganathan dn,0
rajiv prakash manek,v s manek,0
ravi mohan,ravi v,0
tr ravi mohan,ravi v,0
atindriya biswas,atmadeep biswas,0
gravi,ravi v,0
amitava biswas,atmadeep biswas,0
ravi daksh,ravi v,0
shivanshu misra,yukteswar mishra,0
ravi chander veligeti,ravi v,0
siddharth mishra,yukteswar mishra,0
drnc obul reddy,n c obul,0
n c obul reddy,n c obul,1
nabin kumar pattnaik,p k patnaik,0
rajnesh chander reddy,sameer reddy,0
vijai kumar misra,v p mishra,0
rakesh rai,vijayprakash c rai,0
girish hatalkar,girish harnol,0
girish gajanan lad,girish harnol,0
ananthasamy,anantha samy,1
girish moharir,girish harnol,0
siyag muni ram,r k siyag,0
girish lad,girish harnol,0
gsuresh,roopak suresh,0
maulik shah,maulik mcd,0
maulik dalal,maulik mcd,0
chib radhashwar singh,r s chib,0
satya prakash rai,vijayprakash c rai,0
p tirupathi rao,p hari hara,0
seshadri l n,b sheshadri,0
ratnakar shukla,ratnagar xxx,0
goutham kumar,p k gautam,0
teli basavraj shrishail,bhavuray teli,0
singh ent hosp,nirbhay singh,0
chatterjee namrata,c v chaterjee,0
biswanath pattanaik,p k pattnaik,0
nabanita chatterjee,c v chaterjee,0
vamshi krishna,srinivas vamshi,0
syed shamshad hussain,samshad husain,0
dheeraj kumar,girijesh kumar,0
sreejoy patnaik,p k pattnaik,0
sunil patnaik,p k pattnaik,0
ajit kumar bose,arjit kumar patra,0
mohan nair,s mohanan,0
poornima parasuraman,purnima s,0
avinash deshpande,a m deshpande,0
mohamamd zahid,md zaid,0
toijam soni lyngdoh,het soni,0
zaid ahmed,md zaid,0
ashish ahuja,ashish x,0
dheeraj kumar anchlia,dhiraj anchalia,0
jaydip bhadra ray,bahrul hoda,0
purna chandra sahoo,p k sahoo,0
anand mohan raturi,a m raturi,0
brig prof dr prafulla kumar sahoo,p k sahoo,0
vaidya hiren premshand surgeon doctor in surat,hiren vaidya,0
pranati swain,a r swain,0
asif iqbal,ashik iqbal,0
s srikanth raju,cs raju,0
asif iqbal respiratory medicine specialists,ashik iqbal,0
gopinath vinayag,b gopinath,0
manjulata anchalia,dhiraj anchalia,0
chandni neware,ram chandani,0
milind chaudhary,milind chokhande,0
arun senthilnathan,v senthilnathan,0
premalatha sharon rose william,premalatha x,0
rahul mahadar,laya rahul,0
sumanth raj k b,k s sumanth,0
baratam ananta rao,n ananda rao,0
dibakar hansda,l hansda,0
bharati hiremath,s bharathi,0
hiren parmar,prabhodh parmar,0
ghanshyam parmar,prabhodh parmar,0
sumanth bhoopal,k s sumanth,0
suhitha g,shijith m r,0
deepak kumar diwakar,arun deepak,0
sandeep vaidya,sandip zalte,0
manidip chakraborty,mani ratan,0
gujar basweshwar shivanand,n l eshwar,0
sarangi manas ranjan,c r sarangi,0
afnan delhiwala ahmedabad gujarat,mohd afnan a deliwala,0
sarangi siddharth,c r sarangi,0
arunkumar baranwal,a k barnawal,0
birendra kumar barnwal,a k barnawal,0
sarangi balunkeswar,c r sarangi,0
elizabeth jacob,pt elizebeth,0
sarath s,sarath kumar,0
tapan mukherjee,monisha teghoria,0
kevin momin,mt r momin,0
ravindra kumar verma,h r verma,0
srihari s r,sri hari k,0
vermaswapnil,h r verma,0
prasad chaudhari,chiranjivi chaudhri,0
shobha jindal,shonel,0
aniruddha chattopadhyay,anuruddha m,0
krishna prasad irniraya,r krishnan,0
gaurav mishra,asit kumar mishra,0
nprathyusha,prathushya,0
pradip kumar sethi,santosh kumar sethy,0
suman pusala,kmvs suman,0
shafi ahmad,shakeb ahmed,0
mdshafi ahmad hena,shakeb ahmed,0
pradeep jadhav,pradeep v sali,0
sekhar chakraborty,dhan shekhar,0
jotinder khanna,tanuj khanna,0
mahapatra narasingha,narasingha mohapatro,0
waliullah siddiqui,a h siddiqui,0
dinkar maske,pratik maske,0
prashant singh,j l sah,0
thiagarajan srinivasan,srinivasan m,0
ganesh k mani,agnesh kumar,0
chekuri kotaiah,oguri kotaiah,0
drkotaiah voguri,oguri kotaiah,0
swapnil bobde,rahul bobde,0
n navya teza,k c n navya,0
vijayakumar arulraj,arul raj c,0
rajeev punjabi,rajiv gurumukhi,0
dilip kumar deka,deka deep,0
sharmamukesh,m c sarma,0
pranjal deka,deka deep,0
raj kapur,rajkapoor dr,0
rajeev kapoor,rajkapoor dr,0
ingilela sireesh,sireesh i,0
anand agarwal,anand chand,0
raj kamal jenaw,r k jainaw,0
shiv chakradhar singh,c s shiv,0
ajs gulati,ishan gulati,0
yash gulati,ishan gulati,0
